Sponsor,Website,Vertical,Program/Partnership Page,Application Form URL,Application Method,Program Type (Sponsorship/Affiliate/Both),Estimated Investment Amount (USD),Region Availability,Audience Minimum,Traffic/Engagement Requirement,Content/Niche Requirement,Required Assets,Compliance Notes,Decision Maker/Team Contact,Fit Score (1-5),Readiness Score (1-5),Access Score (1-5),Status,Last Verified Date,Notes
Black Diamond Equipment,https://www.blackdiamondequipment.com/,Outdoor,,,,Both,500,,,,,,,,3,2,2,Researching,,
Lenovo,https://www.lenovo.com/,Computers/Cloud,,,,Both,1500,,,,,,,,3,2,2,Researching,,
Mining Gear Brand (Target 1),,Tools,,,,Both,700,,,,,,,,3,2,2,Researching,,
Colombia Partner (Target 1),,Outdoor,,,,Both,400,Colombia/LatAm,,,,,,,,3,2,2,Researching,,
Amazon,https://www.amazon.com/,Computers/Cloud,,,,Both,1200,,,,,,,,3,2,2,Researching,,
Sony,https://www.sony.com/,Audio,,,,Both,1800,,,,,,,,3,2,2,Researching,,
Pioneer,https://www.pioneer.com/,Audio,,,,Both,1000,,,,,,,,3,2,2,Researching,,
JL Audio,https://www.jlaudio.com/,Audio,,,,Both,1100,,,,,,,,3,2,2,Researching,,
Kenwood,https://www.kenwood.com/,Audio,,,,Both,900,,,,,,,,3,2,2,Researching,,
Fluke,https://www.fluke.com/,Tools,,,,Both,950,,,,,,,,3,2,2,Researching,,
Google,https://about.google/,Computers/Cloud,,,,Both,2000,,,,,,,,3,2,2,Researching,,
AWS,https://aws.amazon.com/,Computers/Cloud,,,,Both,2200,,,,,,,,3,2,2,Researching,,
Subaru Racing,https://www.subaru.com/,Auto/Racing,,,,Both,1600,,,,,,,,3,2,2,Researching,,
Blue-Point,https://www.blue-point.com/,Tools,,,,Both,900,,,,,,,,3,2,2,Researching,,
Snap-on,https://www.snapon.com/,Tools,,,,Both,1300,,,,,,,,3,2,2,Researching,,
Borla,https://www.borla.com/,Auto/Racing,,,,Both,1000,,,,,,,,3,2,2,Researching,,
Carhartt,https://www.carhartt.com/,Outdoor,,,,Both,1200,,,,,,,,3,2,2,Researching,,
Polaris,https://www.polaris.com/,Marine,,,,Both,1400,,,,,,,,3,2,2,Researching,,
Ski-Doo,https://www.ski-doo.com/,Marine,,,,Both,1400,,,,,,,,3,2,2,Researching,,
Kicker Audio,https://www.kicker.com/,Audio,,,,Both,1100,,,,,,,,3,2,2,Researching,,
Porsche Motorsport,https://www.porsche.com/,Auto/Racing,,,,Both,2400,,,,,,,,3,2,2,Researching,,
Ford Performance (Mustang),https://performance.ford.com/,Auto/Racing,,,,Both,1700,,,,,,,,3,2,2,Researching,,
Chevrolet Performance,https://www.chevrolet.com/performance,Auto/Racing,,,,Both,1700,,,,,,,,3,2,2,Researching,,
Ducati,https://www.ducati.com/,Motorcycle,,,,Both,1800,,,,,,,,3,2,2,Researching,,
KTM,https://www.ktm.com/,Motorcycle,,,,Both,1600,,,,,,,,3,2,2,Researching,,
Boston Whaler,https://www.bostonwhaler.com/,Marine,,,,Both,1900,,,,,,,,3,2,2,Researching,,
Cigarette Racing,https://www.cigaretteracing.com/,Marine,,,,Both,2000,,,,,,,,3,2,2,Researching,,
Donzi Marine,https://www.donzimarine.com/,Marine,,,,Both,1600,,,,,,,,3,2,2,Researching,,
Milwaukee Tool,https://www.milwaukeetool.com/,Tools,,,,Both,1200,,,,,,,,3,2,2,Researching,,
Garmin,https://www.garmin.com/,Flight/Industrial,,,,Both,1800,,,,,,,,3,2,2,Researching,,
